"PURLEY (OAKS DEPOT)",,,,,,,,,,,,
Grid ref,TQ325629,Long,-0.098745,Lat,51.349740,,,,,,,
Station no,99/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.11,1.43,2.81,4.10,1.71,2.32,2.66,2.37,,
February,,,1.47,2.42,1.65,0.35,3.40,2.40,0.08,2.12,,
March,,,0.41,2.08,1.20,0.88,0.90,1.34,2.21,1.95,,
April,,,2.70,0.38,0.31,1.40,0.24,1.51,2.36,0.76,,
May,,,1.75,2.72,3.87,0.34,1.44,2.35,1.08,1.73,,
June,,,1.78,3.33,2.01,2.80,0.92,4.38,0.95,1.07,,
July,,,3.67,2.65,0.72,5.85,3.12,2.41,1.19,3.04,,
August,,,1.65,3.14,1.28,2.76,2.80,2.94,1.26,3.41,,
September,,,3.54,2.20,2.07,2.51,2.76,5.34,0.20,3.48,,
October,,,3.85,2.04,3.52,1.22,1.81,3.52,2.46,6.15,,
November,,,1.27,5.02,0.96,0.70,2.97,1.70,3.40,5.01,,
December,,,0.72,2.02,2.42,3.44,2.38,3.03,5.13,2.99,,
Total,,,23.92,29.43,22.82,26.35,24.45,33.24,22.98,34.08,,
Calc annual,0.00,0.00,23.92,29.43,22.82,26.35,24.45,33.24,22.98,34.08,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
