"MULGRAVE CASTLE",,,,,,,,,,,,
Grid ref,NZ845126,Long,-0.696673,Lat,54.501690,,,,,,,
Station no,3477,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.75,2.08,1.14,2.28,1.61,3.53,1.55,3.53,3.59,4.88,,
February,3.08,0.86,1.99,1.78,2.26,3.00,2.21,4.41,0.48,2.67,,
March,4.93,2.14,0.23,1.88,2.20,0.90,0.88,3.62,0.97,1.30,,
April,1.91,1.12,2.41,0.17,0.83,0.67,0.59,1.77,3.12,0.77,,
May,6.54,1.77,1.97,1.91,2.42,0.56,0.76,2.74,0.50,1.03,,
June,2.11,1.19,3.40,2.18,2.24,3.00,2.57,3.09,1.58,0.82,,
July,1.98,2.13,2.65,1.40,1.11,2.64,3.56,3.14,1.57,4.68,,
August,6.27,2.02,2.58,6.53,1.43,6.56,2.56,2.39,0.49,3.28,,
September,1.17,6.52,1.26,1.39,1.20,1.79,4.87,1.50,0.97,3.22,,
October,1.65,2.61,2.09,4.17,3.00,2.12,2.67,1.50,1.82,8.17,,
November,5.95,4.66,1.68,4.90,1.89,2.05,2.11,1.12,5.14,4.17,,
December,2.76,3.16,1.13,2.15,3.60,2.30,1.60,3.72,4.89,2.85,,
Total,40.10,30.26,22.53,30.74,23.79,29.12,25.93,32.53,25.12,37.84,,
Calc annual,40.10,30.26,22.53,30.74,23.79,29.12,25.93,32.53,25.12,37.84,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
