"STRATH RANNOCH",,,,,,,,,,,,
Grid ref,NH386745,Long,-4.712277,Lat,57.731153,,,,,,,
Station no,5776/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,5.75,6.00,,3.70,4.48,3.83,3.41,4.62,,,
February,,3.66,4.00,,3.40,4.46,4.56,3.26,3.66,,,
March,,2.11,1.31,,1.82,2.23,0.94,0.75,2.81,,,
April,,1.32,1.87,,3.81,1.81,0.48,1.81,4.24,,,
May,,3.58,3.57,,3.00,3.65,1.12,6.49,2.03,,,
June,,2.25,3.33,,0.34,2.91,1.62,3.40,2.94,,,
July,,2.32,6.06,,0.70,8.61,5.22,1.74,5.13,,,
August,,6.66,8.16,,0.36,8.81,4.90,4.42,2.31,,,
September,,4.33,1.77,,5.67,9.74,6.21,2.87,1.87,,,
October,,5.66,1.05,,5.19,7.21,6.21,5.12,6.49,,,
November,,3.78,8.58,,0.58,8.66,1.41,1.91,9.86,,,
December,,5.51,5.01,,4.22,16.25,7.10,4.54,4.66,,,
Total,,46.93,50.71,,32.79,78.82,43.60,39.72,50.62,,,
Calc annual,0.00,46.93,50.71,0.00,32.79,78.82,43.60,39.72,50.62,0.00,,
Difference,NaN,0.00,0.00,NaN,0.00,-0.00,0.00,0.00,-0.00,NaN,,
