"MEGDALE",,,,,,,,,,,,
Grid ref,NY300954,Long,-3.102619,Lat,55.247797,,,,,,,
Station no,5040/1/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.37,5.75,,
February,,,,,,,,,1.53,7.37,,
March,,,,,,,,,3.43,1.93,,
April,,,,,,,,,4.15,5.88,,
May,,,,,,,,,2.45,4.00,,
June,,,,,,,,,3.24,2.86,,
July,,,,,,,,,4.90,4.44,,
August,,,,,,,,,1.15,6.55,,
September,,,,,,,,,1.79,3.96,,
October,,,,,,,,,5.99,3.96,,
November,,,,,,,,,7.86,7.69,,
December,,,,,,,,,8.68,4.71,,
Total,,,,,,,,,48.54,59.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.54,59.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
