"OXFORD, JACK STRAW LANE",,,,,,,,,,,,
Grid ref,SP529074,Long,-1.234894,Lat,51.762792,,,,,,,
Station no,1055/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.76,1.46,2.73,4.02,,,,,,
February,,,1.34,1.96,1.20,0.88,,,,,,
March,,,0.54,2.36,1.16,0.96,,,,,,
April,,,1.51,0.29,0.69,1.68,,,,,,
May,,,1.75,1.82,4.75,0.23,,,,,,
June,,,1.66,3.19,3.52,2.16,,,,,,
July,,,3.10,2.16,0.31,1.82,,,,,,
August,,3.67,3.21,3.31,0.50,4.28,,,,,,
September,,1.92,1.70,2.44,2.11,2.41,,,,,,
October,,3.85,2.44,2.10,1.68,1.64,,,,,,
November,,4.00,1.63,4.70,1.68,0.75,,,,,,
December,,1.61,0.93,1.99,3.04,2.73,,,,,,
Total,,,20.57,27.78,23.37,23.56,,,,,,
Calc annual,0.00,15.05,20.57,27.78,23.37,23.56,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
