"GLENMORISTON (CEANNACROC)",,,,,,,,,,,,
Grid ref,NH226113,Long,-4.934797,Lat,57.158175,,,,,,,
Station no,5711/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,8.15,7.75,7.83,4.81,5.80,17.98,7.20,3.50,5.02,,
February,2.85,4.31,7.73,4.26,3.87,4.16,6.39,3.74,5.38,6.08,,
March,,3.66,3.83,3.94,1.56,2.90,4.76,1.33,4.56,0.93,,
April,7.37,3.50,5.24,2.46,3.07,3.32,2.45,4.68,5.18,7.05,,
May,0.30,2.25,4.58,4.51,3.65,6.37,2.03,6.54,1.53,2.02,,
June,2.16,4.29,1.39,2.55,2.89,2.27,2.83,1.81,5.48,2.56,,
July,1.36,2.58,4.17,2.51,0.62,4.86,5.18,2.71,7.90,2.53,,
August,4.17,5.44,4.37,3.54,1.50,5.07,6.91,3.68,3.49,5.82,,
September,4.42,5.88,5.52,7.21,7.06,7.37,4.40,5.49,2.38,4.34,,
October,5.08,9.90,4.77,11.60,5.54,7.87,10.34,8.90,10.15,1.41,,
November,7.84,3.97,13.64,8.90,1.44,5.38,2.05,1.43,9.11,6.41,,
December,14.75,9.35,7.86,15.68,13.64,18.45,15.88,5.46,12.82,10.89,,
Total,,63.28,70.85,74.99,49.65,73.82,81.20,52.97,71.48,55.06,,
Calc annual,50.30,63.28,70.85,74.99,49.65,73.82,81.20,52.97,71.48,55.06,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
