"SELKIRK (BROOMHILL)",,,,,,,,,,,,
Grid ref,NT483297,Long,-2.821173,Lat,55.558231,,,,,,,
Station no,5060/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.28,0.63,2.64,2.53,2.36,3.87,2.90,1.87,3.82,,
February,,0.81,1.03,2.48,1.86,1.79,3.58,3.04,0.69,3.66,,
March,,1.29,0.45,2.66,1.68,1.32,1.90,1.75,1.11,2.30,,
April,,1.64,2.77,0.74,0.50,0.60,1.14,1.86,2.55,1.75,,
May,,2.10,2.15,5.64,1.91,0.82,1.72,2.35,0.66,1.96,,
June,,2.48,1.84,2.93,0.87,2.13,1.18,3.22,2.91,1.67,,
July,,1.26,4.13,2.71,1.88,4.19,3.05,5.69,2.33,2.96,,
August,,3.38,1.91,4.94,0.51,8.40,4.57,2.87,0.71,4.12,,
September,,1.80,2.66,3.58,1.36,2.49,1.53,2.22,0.88,1.58,,
October,,4.20,2.00,5.24,1.54,1.59,2.40,2.00,2.25,3.81,,
November,,3.49,3.41,4.50,1.48,0.76,1.39,0.61,5.75,2.90,,
December,,3.13,3.28,3.68,4.50,3.14,2.48,4.39,3.38,2.92,,
Total,,28.86,26.26,41.74,20.62,29.59,28.81,32.90,25.09,33.45,,
Calc annual,0.00,28.86,26.26,41.74,20.62,29.59,28.81,32.90,25.09,33.45,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
