"CROILBURN",,,,,,,,,,,,
Grid ref,NS537440,Long,-4.327553,Lat,55.667399,,,,,,,
Station no,5236,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.75,3.89,3.15,4.09,3.12,2.90,5.39,4.36,1.91,5.06,,
February,3.10,1.80,1.72,3.20,2.64,2.20,3.34,4.10,3.01,4.24,,
March,4.02,2.82,0.86,3.18,1.90,3.20,5.28,1.17,2.55,1.89,,
April,3.56,1.08,2.06,1.33,2.73,1.27,3.37,1.89,3.09,3.96,,
May,1.58,1.40,2.12,2.83,3.55,3.54,3.29,3.84,1.48,1.80,,
June,2.56,3.23,1.50,4.80,3.20,3.00,3.14,2.74,4.35,2.72,,
July,5.29,3.10,4.64,4.96,1.80,5.27,5.25,4.61,6.82,3.82,,
August,5.76,4.54,4.27,5.44,1.91,5.46,3.63,4.80,1.44,3.46,,
September,3.56,2.57,5.36,8.65,4.25,4.01,4.07,4.87,1.65,3.92,,
October,1.49,2.54,3.17,10.16,3.14,4.42,5.52,4.31,6.39,3.35,,
November,5.26,2.37,9.88,6.03,2.02,1.80,2.26,1.74,6.28,5.69,,
December,7.55,3.99,5.27,7.12,7.51,5.78,5.62,5.01,6.79,7.12,,
Total,47.48,33.33,44.00,61.79,37.77,42.85,50.16,43.44,45.76,47.03,,
Calc annual,47.48,33.33,44.00,61.79,37.77,42.85,50.16,43.44,45.76,47.03,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
