"INVERBROOM (GLACKOUR)",,,,,,,,,,,,
Grid ref,NH191820,Long,-5.044926,Lat,57.790993,,,,,,,
Station no,5781/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.89,9.77,6.47,5.82,3.63,7.36,8.01,6.59,7.31,4.42,,
February,5.69,5.67,4.52,3.11,4.07,4.98,4.25,7.34,3.06,3.65,,
March,4.03,3.13,3.18,3.21,1.98,2.83,5.41,2.67,2.43,0.79,,
April,7.20,2.16,5.56,2.50,2.38,2.95,2.08,4.03,5.83,4.46,,
May,1.97,3.79,3.18,5.46,4.75,4.64,1.49,6.11,1.93,1.58,,
June,1.60,4.50,2.28,3.25,1.90,3.04,3.20,2.09,4.74,4.55,,
July,3.06,3.68,5.12,5.76,0.44,7.55,4.53,2.13,7.35,3.12,,
August,5.21,4.07,4.32,2.31,0.93,7.90,7.49,5.25,3.17,5.09,,
September,2.64,6.30,5.70,6.50,5.77,2.57,6.36,2.41,1.94,2.44,,
October,3.27,8.81,2.22,9.30,7.00,6.32,8.30,7.76,8.92,2.13,,
November,8.67,6.74,10.38,5.26,1.99,7.78,4.11,1.93,7.55,3.81,,
December,10.71,8.71,5.11,12.15,9.79,9.46,11.17,5.83,6.27,8.76,,
Total,59.94,67.33,58.04,64.63,44.63,67.38,66.40,54.14,60.50,44.80,,
Calc annual,59.94,67.33,58.04,64.63,44.63,67.38,66.40,54.14,60.50,44.80,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
