"THURSO (BUCKIES)",,,,,,,,,,,,
Grid ref,ND109633,Long,-3.532612,Lat,58.548617,,,,,,,
Station no,5812,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,4.25,3.32,2.18,2.48,4.40,2.82,4.21,6.11,4.17,,
February,3.77,3.03,2.12,3.05,3.50,1.98,1.61,4.39,0.58,4.08,,
March,3.69,2.14,1.15,1.59,2.08,1.69,3.55,2.19,1.49,1.23,,
April,2.36,0.56,2.53,0.92,1.57,1.56,1.45,1.54,2.39,1.94,,
May,0.54,1.98,2.43,2.57,3.63,1.45,1.40,4.02,2.38,0.85,,
June,1.52,1.56,1.55,3.80,0.95,2.52,2.73,1.26,1.99,2.89,,
July,3.54,1.93,4.10,4.19,0.43,3.58,4.69,1.85,2.12,2.89,,
August,3.15,2.80,2.35,1.95,0.95,3.40,4.13,3.02,2.15,5.08,,
September,0.83,3.65,3.06,3.09,3.38,1.80,2.99,1.21,1.35,1.51,,
October,1.76,3.25,1.24,5.11,5.00,3.29,3.06,4.11,5.14,2.88,,
November,5.45,4.54,2.92,4.89,2.11,4.15,3.17,1.97,5.53,3.16,,
December,3.16,3.36,2.23,5.10,5.93,3.72,5.07,3.37,3.64,2.97,,
Total,32.76,33.05,29.00,38.44,32.01,33.54,36.67,33.14,34.87,33.65,,
Calc annual,32.76,33.05,29.00,38.44,32.01,33.54,36.67,33.14,34.87,33.65,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
