"STONEYKIRK (WEST FREUGH AIRFIELD)",,,,,,,,,,,,
Grid ref,NX108544,Long,-4.948492,Lat,54.848544,,,,,,,
Station no,5008/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.13,4.22,1.70,4.29,3.42,3.57,3.57,4.53,2.00,4.56,,
February,2.67,1.00,1.25,4.19,3.13,1.17,2.35,4.54,1.43,3.12,,
March,3.27,2.11,0.41,4.14,1.47,1.33,3.32,1.56,2.29,2.35,,
April,1.37,1.40,1.61,0.98,2.21,1.03,1.28,1.15,2.94,2.70,,
May,2.17,2.38,2.34,1.95,2.79,1.08,1.71,2.20,0.68,1.61,,
June,1.59,2.58,0.64,3.35,4.07,2.02,1.73,3.06,2.17,2.10,,
July,2.02,2.09,5.60,3.83,1.36,3.73,4.74,4.06,1.86,4.19,,
August,4.45,5.72,2.49,4.01,1.31,5.90,3.00,3.39,0.52,4.14,,
September,3.04,2.92,5.12,4.89,2.52,4.19,4.79,4.13,2.13,3.20,,
October,0.68,3.55,4.92,7.13,2.15,2.54,4.20,3.05,5.56,5.52,,
November,7.71,3.30,4.73,6.95,2.97,1.37,2.18,2.42,3.86,5.63,,
December,6.13,4.41,3.64,4.81,4.60,3.47,4.57,4.38,7.22,4.07,,
Total,39.23,35.68,34.45,50.52,32.00,31.40,37.44,38.47,32.66,43.19,,
Calc annual,39.23,35.68,34.45,50.52,32.00,31.40,37.44,38.47,32.66,43.19,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
