"HARRIS (LOG GARTH AQUEDUCT)",,,,,,,,,,,,
Grid ref,NB071096,Long,-6.956556,Lat,57.978848,,,,,,,
Station no,5766/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,8.02,,
February,,,,,,,,,,4.15,,
March,,,,,,,,,,2.86,,
April,,,,,,,,,,4.76,,
May,,,,,,,,,,3.30,,
June,,,,,,,,,,5.78,,
July,,,,,,,,,,5.07,,
August,,,,,,,,,,7.83,,
September,,,,,,,,,,6.20,,
October,,,,,,,,,,3.85,,
November,,,,,,,,,,9.44,,
December,,,,,,,,,,9.75,,
Total,,,,,,,,,,71.01,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.01,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
