"MARKET DEEPING (WILSTHORPE)",,,,,,,,,,,,
Grid ref,TF081148,Long,-0.400983,Lat,52.720062,,,,,,,
Station no,2527,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,1.32,0.80,0.99,2.07,3.09,0.54,2.15,2.26,2.96,,
February,3.10,0.23,1.16,2.15,1.80,0.42,2.66,3.01,0.11,1.83,,
March,3.08,2.32,0.88,1.55,1.74,0.75,1.80,0.99,1.96,1.62,,
April,1.88,1.36,1.82,0.23,0.89,1.20,0.23,0.61,1.33,0.31,,
May,2.80,1.28,2.14,2.91,2.47,0.77,1.44,1.80,0.95,0.87,,
June,0.81,1.24,2.67,3.30,3.08,1.89,2.11,4.17,0.27,1.59,,
July,0.95,0.17,1.39,1.88,0.17,2.62,2.77,2.73,2.17,2.51,,
August,4.25,2.85,2.46,3.37,1.02,4.37,2.71,1.60,1.16,2.14,,
September,1.23,1.67,0.72,1.90,0.79,1.47,4.51,2.08,0.25,2.54,,
October,0.81,2.20,1.85,2.14,1.74,0.81,0.94,1.66,1.21,6.04,,
November,3.73,2.41,1.63,4.35,1.02,0.59,1.59,1.24,1.37,2.63,,
December,1.32,1.57,0.49,2.09,1.31,2.33,2.21,2.55,2.93,3.50,,
Total,26.24,18.62,18.01,26.86,18.10,20.31,23.51,24.59,15.97,28.54,,
Calc annual,26.24,18.62,18.01,26.86,18.10,20.31,23.51,24.59,15.97,28.54,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
