"LARNE (GRAMMAR SCHOOL)",,,,,,,,,,,,
Grid ref,ID393026,Long,-5.831593,Lat,54.851938,,,,,,,
Station no,6227/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.41,-999.00,4.06,,
February,,,,,,,,4.21,,4.67,,
March,,,,,,,,2.02,,2.95,,
April,,,,,,,,1.55,,3.85,,
May,,,,,,,,2.46,,1.55,,
June,,,,,,,,4.79,,2.04,,
July,,,,,,,,4.76,,7.93,,
August,,,,,,,,3.68,,4.19,,
September,,,,,,,,4.24,,2.32,,
October,,,,,,,,3.54,,6.67,,
November,,,,,,,,0.78,-999.00,5.28,,
December,,,,,,,,5.09,7.30,3.64,,
Total,,,,,,,,41.53,,49.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.53,7.30,49.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,,
