"CHAPEL ST. LEONARDS (PUMPING STN.)",,,,,,,,,,,,
Grid ref,TF559729,Long,0.334138,Lat,53.230259,,,,,,,
Station no,2564/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.58,1.46,3.68,1.31,2.71,,,,
February,,,,1.95,2.13,1.46,2.79,3.47,,,,
March,,,,1.94,2.36,0.69,1.59,1.49,,,,
April,,,,0.44,1.20,1.12,0.26,1.04,,,,
May,,,,2.34,3.57,0.67,1.78,2.47,,,,
June,,,,2.00,3.28,2.72,1.33,3.31,,,,
July,,,,1.90,0.81,2.76,2.67,3.82,,,,
August,,,,3.18,1.46,3.54,2.83,1.43,,,,
September,,,,1.71,0.73,1.42,3.88,2.56,,,,
October,,,,2.12,1.64,1.04,1.28,1.35,,,,
November,,,,3.74,1.27,0.92,2.17,0.68,,,,
December,,,,2.28,1.63,1.57,2.25,3.49,,,,
Total,,,,25.18,21.54,21.59,24.14,27.82,,,,
Calc annual,0.00,0.00,0.00,25.18,21.54,21.59,24.14,27.82,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
