"STRATH OYKELL (ROSEHALL)",,,,,,,,,,,,
Grid ref,NC504000,Long,-4.530338,Lat,57.964058,,,,,,,
Station no,5998/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.53,3.14,3.60,2.36,2.53,3.18,4.46,,,,,
February,2.94,3.32,2.29,2.50,3.49,2.85,2.08,,,,,
March,2.59,2.18,1.16,2.11,1.14,1.58,3.55,,,,,
April,4.17,0.94,1.98,1.62,2.04,2.60,1.10,,,,,
May,0.87,1.89,2.46,4.34,3.78,1.75,1.63,,,,,
June,1.51,2.22,3.15,2.56,1.79,2.10,2.85,,,,,
July,3.64,2.28,4.81,2.84,0.66,5.18,5.29,,,,,
August,4.24,2.26,3.05,1.74,0.46,5.87,4.35,,,,,
September,1.21,2.67,4.17,3.73,3.17,3.17,3.10,,,,,
October,1.24,3.61,1.25,7.01,4.26,3.64,3.41,,,,,
November,6.38,3.87,4.28,3.53,2.30,3.99,2.65,,,,,
December,4.83,3.92,2.78,7.99,6.27,4.07,6.42,,,,,
Total,37.15,32.30,34.98,42.33,31.89,39.98,40.89,,,,,
Calc annual,37.15,32.30,34.98,42.33,31.89,39.98,40.89,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,,
