"BIRMINGHAM WW (ARBAN)",,,,,,,,,,,,
Grid ref,SN830629,Long,-3.715350,Lat,52.251796,,,,,,,
Station no,4216,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.20,9.65,4.00,5.70,6.10,10.50,9.00,8.50,10.30,12.25,,
February,8.50,7.25,5.00,7.00,4.90,2.00,7.80,12.50,1.10,10.50,,
March,8.55,4.65,6.10,6.30,5.55,5.50,7.50,2.00,6.00,3.00,,
April,8.30,4.80,5.30,2.50,5.30,2.90,0.90,3.20,8.00,6.10,,
May,4.00,4.00,5.00,5.00,7.50,1.50,3.50,5.10,1.80,2.90,,
June,2.10,5.40,3.00,8.30,8.50,4.00,3.20,5.60,3.10,3.90,,
July,3.15,3.50,9.10,9.10,1.50,5.45,10.70,6.70,6.50,7.30,,
August,8.35,7.25,6.50,7.35,1.65,12.00,12.00,5.00,0.90,5.60,,
September,5.90,5.30,7.00,9.15,6.00,8.50,15.00,10.10,0.70,7.20,,
October,2.30,8.50,4.75,13.90,6.10,5.50,8.50,7.80,12.00,8.50,,
November,15.00,4.70,8.00,15.00,5.50,5.55,4.60,5.00,10.50,13.50,,
December,10.20,8.90,3.10,11.00,9.60,10.00,8.50,7.00,15.00,11.95,,
Total,84.55,73.90,66.85,100.30,68.20,73.40,91.20,78.50,75.90,92.70,,
Calc annual,84.55,73.90,66.85,100.30,68.20,73.40,91.20,78.50,75.90,92.70,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
