"MONIKIE RESERVOIR",,,,,,,,,,,,
Grid ref,NO505383,Long,-2.806404,Lat,56.534095,,,,,,,
Station no,5595,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.14,1.61,0.61,1.96,1.64,4.05,3.18,2.34,1.30,6.01,,
February,3.29,0.58,0.99,3.08,2.27,1.76,4.24,3.39,0.31,2.87,,
March,2.85,3.44,0.29,3.19,2.13,1.59,2.50,8.00,1.51,2.77,,
April,2.42,1.19,2.71,1.12,0.88,1.00,1.08,1.96,2.75,2.91,,
May,1.79,2.37,1.93,3.49,2.24,0.68,2.10,3.04,0.91,1.61,,
June,2.43,2.32,1.19,2.53,1.24,3.64,1.24,2.28,2.37,2.45,,
July,3.77,2.29,4.15,2.98,1.11,5.24,5.25,5.42,2.40,3.37,,
August,4.49,3.49,1.90,2.73,0.35,5.27,4.31,2.98,0.69,3.76,,
September,2.32,1.25,2.72,3.34,1.53,4.76,1.82,2.98,0.72,2.52,,
October,0.65,2.64,1.35,5.96,2.26,1.50,1.96,1.77,2.65,8.56,,
November,8.85,2.14,2.67,5.09,2.20,0.78,1.55,1.08,5.72,4.21,,
December,2.33,2.57,3.64,3.10,6.54,3.52,4.81,5.27,6.32,2.49,,
Total,39.33,25.89,24.15,38.57,24.39,33.79,34.04,40.51,27.65,43.53,,
Calc annual,39.33,25.89,24.15,38.57,24.39,33.79,34.04,40.51,27.65,43.53,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
