"BRIGHTON (OLD STEYNE)",,,,,,,,,,,,
Grid ref,TQ313040,Long,-0.137352,Lat,50.820666,,,,,,,
Station no,476,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.24,2.48,1.27,1.54,3.39,5.14,1.71,4.07,2.84,2.67,,
February,5.59,0.99,1.05,2.54,1.74,0.13,4.37,2.58,0.02,2.73,,
March,3.59,2.68,0.26,3.31,0.85,0.24,1.24,1.69,1.39,1.78,,
April,1.87,1.46,2.12,0.42,0.29,1.51,0.12,0.76,1.82,1.00,,
May,2.19,2.42,1.35,1.32,3.37,0.32,1.11,2.32,0.45,1.64,,
June,1.72,0.86,1.55,2.42,1.52,1.42,1.37,3.44,1.35,1.49,,
July,2.09,1.07,2.65,4.01,0.25,2.33,4.74,2.13,1.67,3.12,,
August,3.78,2.51,1.79,2.75,1.80,3.35,2.23,5.08,0.78,6.35,,
September,2.97,3.72,3.80,2.72,2.85,2.67,3.91,3.82,0.12,4.67,,
October,1.38,3.25,3.34,2.26,2.59,1.24,1.34,3.41,2.96,6.77,,
November,4.51,4.70,2.07,4.70,0.70,0.55,2.64,2.28,3.35,7.26,,
December,2.30,3.77,0.81,2.47,3.55,4.76,1.86,4.15,6.68,3.73,,
Total,35.23,29.91,22.06,30.46,22.90,23.66,26.64,35.73,23.43,43.21,,
Calc annual,35.23,29.91,22.06,30.46,22.90,23.66,26.64,35.73,23.43,43.21,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
