"BRIGHTON W.W. (SHOREHAM)",,,,,,,,,,,,
Grid ref,TQ210068,Long,-0.282581,Lat,50.848076,,,,,,,
Station no,484,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.74,2.82,1.44,1.41,4.38,5.77,2.37,4.65,3.54,2.86,,
February,6.00,1.00,1.34,2.69,1.95,0.42,4.76,2.97,0.03,3.38,,
March,4.03,3.05,0.32,3.75,1.04,0.51,1.75,1.95,1.82,1.95,,
April,2.47,1.64,2.93,0.50,0.33,1.44,0.19,0.94,2.30,0.75,,
May,2.60,2.40,2.41,1.81,3.83,0.52,0.91,2.93,0.56,1.58,,
June,2.23,1.18,1.56,3.14,2.03,2.06,1.43,3.15,1.45,2.02,,
July,2.72,1.21,2.94,4.50,0.23,2.80,4.91,2.00,1.60,4.51,,
August,4.62,2.82,2.08,4.09,1.51,2.99,2.06,6.78,1.97,6.20,,
September,3.29,4.05,4.31,3.02,2.54,3.59,3.93,3.91,0.13,4.90,,
October,1.65,3.43,4.14,2.50,2.80,1.26,1.64,3.33,2.75,7.87,,
November,5.20,4.20,2.12,5.31,1.46,0.80,3.00,2.63,4.31,6.50,,
December,3.23,4.10,1.00,3.35,3.86,4.98,2.35,4.93,7.04,4.09,,
Total,41.78,31.90,26.59,36.07,25.96,27.14,29.30,40.17,27.50,46.61,,
Calc annual,41.78,31.90,26.59,36.07,25.96,27.14,29.30,40.17,27.50,46.61,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
