"HEXHAM (RIDGEWAY-ON-YARRIDGE)",,,,,,,,,,,,
Grid ref,NY928624,Long,-2.113961,Lat,54.956188,,,,,,,
Station no,3564/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.79,2.59,0.42,,,,,,,,,
February,1.60,0.32,1.11,,,,,,,,,
March,3.17,0.71,0.30,,,,,,,,,
April,1.67,1.49,1.77,,,,,,,,,
May,2.28,1.57,1.31,,,,,,,,,
June,1.05,1.90,1.27,,,,,,,,,
July,1.64,1.80,2.10,,,,,,,,,
August,3.87,1.44,4.35,,,,,,,,,
September,0.96,2.43,2.18,,,,,,,,,
October,0.74,1.87,1.03,,,,,,,,,
November,6.46,1.83,,,,,,,,,,
December,2.50,2.39,,,,,,,,,,
Total,27.73,20.34,,,,,,,,,,
Calc annual,27.73,20.34,15.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
