"BROMYARD GRAMMAR SCHOOL",,,,,,,,,,,,
Grid ref,SO656548,Long,-2.504630,Lat,52.190360,,,,,,,
Station no,124946,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.81,3.01,,,,,,,,,,
February,3.89,0.86,,,,,,,,,,
March,3.50,2.88,,,,,,,,,,
April,2.49,,,,,,,,,,,
May,2.89,3.12,,,,,,,,,,
June,0.96,,,,,,,,,,,
July,0.79,,,,,,,,,,,
August,4.78,,,,,,,,,,,
September,2.57,,,,,,,,,,,
October,0.81,,,,,,,,,,,
November,6.35,,,,,,,,,,,
December,1.88,,,,,,,,,,,
Total,33.72,,,,,,,,,,,
Calc annual,33.72,9.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
