"BATTLE (CROWHURST PARK)",,,,,,,,,,,,
Grid ref,TQ770141,Long,0.515733,Lat,50.899250,,,,,,,
Station no,547/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.27,3.57,1.21,1.39,5.04,6.64,2.95,5.05,4.68,3.14,,
February,6.44,1.15,1.53,2.53,2.10,1.29,5.65,3.09,0.05,2.97,,
March,4.36,3.23,0.45,3.98,1.54,0.78,2.20,1.49,2.13,3.01,,
April,2.17,1.25,2.56,0.40,0.40,1.78,0.32,1.26,3.57,1.56,,
May,2.24,1.71,0.88,2.27,5.17,0.61,1.31,2.76,1.30,2.62,,
June,1.07,1.06,2.10,3.06,2.49,3.13,1.46,4.24,0.77,2.17,,
July,2.29,0.80,3.60,4.07,2.66,3.41,5.77,3.56,2.68,3.23,,
August,6.02,4.42,3.15,4.14,2.55,5.07,3.27,5.53,0.80,5.92,,
September,4.79,4.65,3.85,3.62,2.60,3.74,4.80,4.80,0.19,3.17,,
October,3.15,3.98,3.43,4.04,5.76,1.81,2.67,6.75,5.26,8.64,,
November,5.94,4.25,2.34,6.29,2.00,1.33,4.77,2.68,5.55,8.34,,
December,2.84,3.91,1.02,2.37,4.99,5.59,2.95,5.00,8.75,4.55,,
Total,45.58,33.98,26.12,38.16,37.30,35.18,38.12,46.21,35.73,49.32,,
Calc annual,45.58,33.98,26.12,38.16,37.30,35.18,38.12,46.21,35.73,49.32,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
