"FIRSBY",,,,,,,,,,,,
Grid ref,TF457633,Long,0.177080,Lat,53.146922,,,,,,,
Station no,2560/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.79,1.90,0.95,1.30,1.89,4.99,1.10,,,,,
February,2.85,0.57,1.18,2.56,2.35,0.80,2.86,,,,,
March,2.84,2.91,0.85,2.12,2.10,1.02,1.44,,,,,
April,2.92,0.96,2.53,0.53,0.64,1.04,0.38,,,,,
May,3.50,2.18,2.62,2.57,3.50,0.93,1.69,,,,,
June,0.91,1.51,3.46,2.51,3.86,2.19,2.00,,,,,
July,0.63,0.46,1.62,1.89,0.61,2.94,2.10,,,,,
August,3.50,2.07,2.10,3.74,0.87,3.33,2.40,,,,,
September,1.72,2.25,0.88,2.23,1.13,1.60,3.13,,,,,
October,1.19,2.39,2.07,2.83,1.86,0.61,1.76,,,,,
November,3.15,2.64,1.50,3.84,0.95,1.07,2.15,,,,,
December,1.25,1.89,0.98,1.99,2.02,1.40,2.10,,,,,
Total,27.25,21.73,20.74,28.11,21.78,21.92,23.11,,,,,
Calc annual,27.25,21.73,20.74,28.11,21.78,21.92,23.11,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
