"HELTONDALE (KIDMOOR)",,,,,,,,,,,,
Grid ref,NY482197,Long,-2.802723,Lat,54.569853,,,,,,,
Station no,3684/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.74,5.24,2.40,5.25,6.35,4.25,14.45,8.86,5.83,11.10,,
February,7.65,1.33,1.80,5.50,2.15,0.93,7.93,9.16,1.56,11.49,,
March,5.07,3.00,0.80,4.50,1.58,1.63,6.42,1.76,5.31,2.09,,
April,6.00,4.25,4.85,0.96,1.30,1.20,0.87,2.23,6.87,6.29,,
May,1.68,3.21,3.50,4.95,5.40,1.93,3.05,5.85,1.28,2.72,,
June,1.41,3.36,2.63,3.55,3.25,3.60,1.65,5.50,5.95,4.25,,
July,3.89,2.53,5.65,3.71,1.44,4.25,4.74,4.42,4.45,5.39,,
August,5.86,3.75,5.28,6.39,2.50,8.90,7.65,4.07,1.37,4.24,,
September,9.51,6.08,8.35,9.48,3.00,5.54,6.10,8.47,1.20,4.03,,
October,1.01,8.58,3.55,13.35,4.27,5.00,7.97,6.78,8.85,5.25,,
November,15.74,3.00,8.30,15.35,3.70,3.06,2.63,0.72,10.35,16.30,,
December,13.45,5.53,3.65,7.67,8.53,12.28,9.83,7.54,13.88,10.40,,
Total,78.01,49.86,50.76,80.66,43.47,52.57,73.29,65.36,66.90,83.55,,
Calc annual,78.01,49.86,50.76,80.66,43.47,52.57,73.29,65.36,66.90,83.55,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
