"EDINBURGH W WORKS (BALLAMAN HILL)",,,,,,,,,,,,
Grid ref,NT095149,Long,-3.431280,Lat,55.419624,,,,,,,
Station no,5067/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.77,5.64,2.44,4.15,4.80,3.20,9.10,7.80,3.60,5.70,,
February,6.70,1.41,2.60,5.00,2.20,1.80,4.20,4.40,2.30,7.20,,
March,5.80,4.50,0.80,4.15,2.90,3.10,4.70,2.30,5.10,2.60,,
April,4.50,3.50,4.50,1.50,2.80,1.00,3.00,2.80,5.20,7.00,,
May,2.90,2.80,4.70,6.40,4.30,3.60,2.80,4.50,2.30,3.30,,
June,2.80,3.80,2.40,5.30,3.50,4.00,2.60,3.70,4.00,3.50,,
July,4.20,3.10,10.50,6.40,2.90,5.50,5.60,6.10,6.50,4.90,,
August,8.50,6.10,4.50,7.20,2.30,8.90,6.30,6.60,1.60,5.40,,
September,6.90,3.20,6.90,9.00,4.80,5.60,4.00,6.10,2.00,4.60,,
October,0.90,6.60,4.70,12.50,4.60,4.50,6.30,4.20,7.00,4.00,,
November,12.00,4.62,8.00,11.60,3.30,2.30,3.50,2.00,12.14,11.10,,
December,8.65,5.84,6.40,7.10,6.90,7.20,5.80,5.20,9.50,5.10,,
Total,70.62,51.11,58.44,80.30,45.30,50.70,57.90,55.70,61.24,64.40,,
Calc annual,70.62,51.11,58.44,80.30,45.30,50.70,57.90,55.70,61.24,64.40,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
