"GOUDHURST (BEDGEBURY FOREST)",,,,,,,,,,,,
Grid ref,TQ720335,Long,0.453875,Lat,51.075050,,,,,,,
Station no,321/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.98,3.04,1.28,2.51,4.29,5.69,3.19,3.66,2.89,3.26,,
February,6.92,1.29,1.48,2.28,2.08,1.59,5.68,2.94,0.05,2.87,,
March,3.98,3.26,0.18,3.36,2.15,1.17,1.45,1.76,2.27,3.00,,
April,2.45,1.77,2.28,0.56,0.07,1.01,0.37,1.70,3.10,1.01,,
May,2.44,1.65,1.43,2.11,4.79,0.44,1.47,2.17,1.51,2.40,,
June,1.42,0.98,2.40,3.49,2.10,2.39,1.45,4.32,0.90,1.75,,
July,2.32,0.80,3.12,3.60,1.17,4.51,4.68,2.52,2.26,4.23,,
August,4.36,4.00,2.06,3.37,1.48,5.38,2.64,5.60,1.12,5.28,,
September,4.26,3.83,4.55,2.73,2.89,3.05,3.50,3.31,0.14,3.75,,
October,1.32,3.69,3.38,3.63,5.57,1.69,1.66,3.89,3.56,8.68,,
November,5.68,4.68,1.98,7.09,1.47,1.18,3.56,1.62,5.45,7.75,,
December,3.62,3.66,0.80,1.97,3.53,4.92,2.80,4.37,8.53,4.23,,
Total,42.75,32.65,24.94,36.70,31.59,33.02,32.45,37.86,31.78,48.21,,
Calc annual,42.75,32.65,24.94,36.70,31.59,33.02,32.45,37.86,31.78,48.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
