"CONLIG RESERVOIR",,,,,,,,,,,,
Grid ref,IJ499781,Long,-5.679290,Lat,54.628953,,,,,,,
Station no,6206/1/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.70,3.43,0.92,3.26,3.91,3.87,4.09,4.03,2.07,5.13,,
February,2.56,1.00,1.02,3.56,2.92,1.05,2.60,3.78,0.98,3.08,,
March,2.93,1.22,0.28,4.06,1.62,1.63,3.44,2.11,2.72,2.83,,
April,1.73,1.31,1.85,0.73,1.90,0.66,1.19,1.60,3.14,2.95,,
May,3.15,1.62,1.74,2.94,2.76,1.11,2.59,3.22,1.09,1.96,,
June,1.50,2.20,2.32,2.67,4.99,2.65,1.07,6.12,3.11,2.48,,
July,3.09,1.71,5.30,3.39,1.60,3.68,5.53,4.04,2.24,6.58,,
August,4.06,5.91,2.35,3.12,1.80,8.02,4.09,4.51,1.32,5.40,,
September,2.93,1.44,3.22,3.52,2.54,4.77,4.44,4.82,1.53,3.45,,
October,0.47,4.21,2.12,6.19,2.66,2.18,3.66,2.06,3.65,6.15,,
November,6.68,3.35,3.70,6.22,2.94,1.50,2.14,1.95,3.35,5.54,,
December,4.45,3.87,3.33,4.07,5.47,3.99,4.79,6.33,5.19,2.23,,
Total,38.25,31.27,28.15,43.73,35.11,35.11,39.63,44.57,30.39,47.78,,
Calc annual,38.25,31.27,28.15,43.73,35.11,35.11,39.63,44.57,30.39,47.78,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
