"DEAL & WALMER WATERWORKS",,,,,,,,,,,,
Grid ref,TR363508,Long,1.381605,Lat,51.207495,,,,,,,
Station no,289,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,2.91,0.98,1.60,3.49,5.56,1.91,3.01,2.41,3.41,,
February,5.09,1.79,1.91,2.29,2.19,1.60,3.85,2.30,0.01,1.49,,
March,2.53,2.97,0.12,2.84,1.56,0.32,1.07,2.25,1.61,1.39,,
April,1.77,1.02,1.04,0.20,0.26,0.57,0.28,1.39,2.37,0.89,,
May,2.14,1.11,1.68,2.43,4.52,0.35,0.85,1.30,0.60,2.32,,
June,1.28,2.25,2.14,1.82,1.59,2.62,0.57,4.29,0.47,1.78,,
July,1.74,0.76,2.24,2.53,0.30,2.59,3.87,2.26,2.16,3.25,,
August,4.61,2.78,1.68,2.93,1.56,2.82,1.96,2.72,1.31,3.14,,
September,4.30,6.97,3.22,1.53,0.62,1.95,3.10,1.99,0.16,2.79,,
October,2.61,2.84,2.60,1.55,5.95,1.89,1.04,4.37,3.44,7.83,,
November,4.32,2.70,1.54,5.53,1.78,0.58,4.21,1.83,5.79,6.41,,
December,2.76,2.62,1.05,1.63,2.13,2.83,1.25,4.22,6.29,4.13,,
Total,36.14,30.72,20.20,26.88,25.95,23.68,23.96,31.93,26.62,38.83,,
Calc annual,36.14,30.72,20.20,26.88,25.95,23.68,23.96,31.93,26.62,38.83,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
