"LAIRG (DALNESSIE)",,,,,,,,,,,,
Grid ref,NC631152,Long,-4.324725,Lat,58.104558,,,,,,,
Station no,5800/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.82,3.12,3.40,3.13,2.50,4.56,3.59,5.79,,,,
February,2.92,2.44,2.15,2.87,2.27,2.09,2.51,3.67,,,,
March,2.80,2.97,1.20,1.92,2.52,1.63,3.13,1.95,,,,
April,3.95,1.19,,1.27,1.78,2.30,1.59,1.93,,,,
May,0.86,1.91,2.99,3.29,3.84,1.84,1.69,4.49,,,,
June,1.10,2.49,,3.00,1.52,1.64,1.93,1.23,,,,
July,2.51,1.55,4.64,2.97,0.76,3.58,4.30,1.74,,,,
August,2.31,2.86,2.38,1.98,0.36,5.50,4.26,3.39,,,,
September,0.96,2.66,3.11,3.22,3.43,1.98,2.71,1.76,,,,
October,1.05,4.09,1.61,6.72,5.66,3.37,2.30,4.31,,,,
November,6.84,3.15,,4.27,1.97,3.55,2.54,0.43,,,,
December,4.97,3.95,3.53,8.12,4.71,3.07,6.60,4.51,,,,
Total,33.09,32.38,,42.76,31.32,35.11,37.15,35.20,,,,
Calc annual,33.09,32.38,25.01,42.76,31.32,35.11,37.15,35.20,0.00,0.00,,
Difference,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
