"ENFIELD (FORTY HILL)",,,,,,,,,,,,
Grid ref,TQ338983,Long,-0.066668,Lat,51.667553,,,,,,,
Station no,892,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.55,1.73,0.99,1.11,2.35,3.70,1.39,2.49,2.21,2.06,,
February,5.00,0.76,1.59,2.53,1.85,0.33,3.26,2.83,0.08,2.11,,
March,3.10,3.37,0.59,2.53,1.23,0.94,1.27,1.04,1.81,1.30,,
April,2.75,1.15,2.82,0.33,0.43,1.25,0.30,1.57,2.52,0.58,,
May,1.95,1.24,1.32,2.01,4.66,0.65,0.94,2.83,1.21,1.98,,
June,0.60,1.16,1.63,2.51,2.18,3.62,0.90,5.05,0.96,1.27,,
July,1.05,0.71,3.39,2.85,0.13,4.93,3.10,2.35,1.44,3.37,,
August,3.95,3.02,1.98,3.25,1.45,3.98,2.00,3.05,1.41,2.22,,
September,3.45,2.98,1.82,1.78,1.87,2.27,2.76,4.06,0.03,3.97,,
October,0.80,2.45,3.18,2.34,3.68,2.75,2.10,2.88,1.86,6.05,,
November,4.70,3.46,0.98,4.02,0.85,0.48,2.47,1.89,2.43,3.68,,
December,1.60,2.48,0.63,1.89,1.94,3.00,1.84,2.94,3.51,2.74,,
Total,31.50,24.51,20.92,27.15,22.62,27.90,22.33,32.98,19.47,31.33,,
Calc annual,31.50,24.51,20.92,27.15,22.62,27.90,22.33,32.98,19.47,31.33,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
