"WELLS (WOOKEY HOLE PAPER MILLS)",,,,,,,,,,,,
Grid ref,ST532477,Long,-2.671591,Lat,51.226561,,,,,,,
Station no,2020,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.44,2.93,0.72,2.68,,,,,,,,
February,3.80,1.47,2.15,3.60,,,,,,,,
March,3.31,3.82,0.93,3.21,,,,,,,,
April,4.31,1.70,2.61,0.65,,,,,,,,
May,2.86,3.35,1.86,2.72,,,,,,,,
June,0.92,4.06,2.30,3.99,,,,,,,,
July,1.93,0.85,4.05,4.31,,,,,,,,
August,5.41,4.22,5.37,4.23,,,,,,,,
September,2.85,3.72,3.34,4.49,,,,,,,,
October,3.28,4.72,3.07,4.17,,,,,,,,
November,4.92,4.79,1.44,7.41,,,,,,,,
December,2.43,3.12,0.51,3.42,,,,,,,,
Total,39.46,38.75,28.35,44.88,,,,,,,,
Calc annual,39.46,38.75,28.35,44.88,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
