"TURVEY (BRAYFIELD HOUSE)",,,,,,,,,,,,
Grid ref,SP928520,Long,-0.644856,Lat,52.158486,,,,,,,
Station no,1029,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,1.79,1.09,0.87,1.84,3.58,1.14,2.66,3.62,3.08,,
February,3.47,0.65,1.94,1.93,1.64,0.37,2.34,2.66,0.09,2.30,,
March,3.59,2.81,0.52,2.25,1.73,0.84,1.91,1.51,2.62,1.66,,
April,2.95,2.07,2.22,0.25,0.60,0.99,0.36,0.78,1.89,0.47,,
May,2.39,3.82,1.80,2.87,3.88,0.44,2.01,1.93,0.49,1.10,,
June,0.71,1.15,1.47,2.04,2.35,2.73,1.92,4.57,0.94,2.39,,
July,1.13,0.96,2.65,2.85,0.32,5.49,3.04,2.80,2.02,3.73,,
August,3.17,2.49,2.42,4.92,0.62,3.41,2.02,2.91,0.76,3.08,,
September,1.81,2.93,1.11,2.07,1.58,1.63,3.87,2.85,0.06,3.84,,
October,1.09,3.21,1.96,2.00,1.33,2.01,1.67,2.28,1.76,4.77,,
November,4.70,3.11,1.79,4.07,1.26,0.83,1.86,1.80,1.90,3.43,,
December,1.52,2.72,0.50,2.18,2.25,2.54,2.39,2.65,3.82,3.18,,
Total,29.36,27.71,19.47,28.30,19.40,24.86,24.53,29.40,19.97,33.00,,
Calc annual,29.36,27.71,19.47,28.30,19.40,24.86,24.53,29.40,19.97,33.03,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.03,,
