"CUPAR (SUGAR FACTORY)",,,,,,,,,,,,
Grid ref,NO388152,Long,-2.991186,Lat,56.325215,,,,,,,
Station no,5495/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.42,1.03,0.45,1.81,1.76,2.13,3.52,2.10,0.89,3.50,,
February,3.31,0.88,0.62,2.57,2.48,1.29,3.87,2.74,0.43,2.51,,
March,2.92,2.22,0.50,3.31,2.41,1.13,1.48,3.39,1.57,1.70,,
April,2.42,1.16,2.79,1.59,0.66,0.83,0.49,1.89,2.61,2.14,,
May,2.02,2.21,1.80,4.60,2.07,0.71,1.36,2.32,0.58,1.87,,
June,1.71,2.55,0.97,2.47,0.92,2.80,0.89,2.57,2.24,1.59,,
July,3.91,1.13,3.90,1.62,1.25,3.90,5.06,5.30,3.20,3.70,,
August,3.27,3.39,1.77,2.73,0.33,7.63,3.43,3.58,0.59,4.46,,
September,1.47,1.35,2.59,2.14,1.08,3.84,1.35,1.91,0.56,1.46,,
October,0.17,2.97,1.62,5.90,1.70,1.47,1.91,1.58,1.41,6.22,,
November,7.58,2.49,2.88,4.84,1.41,0.61,1.84,0.64,6.13,3.59,,
December,2.51,2.33,3.01,3.35,4.61,3.04,3.72,4.99,5.43,2.02,,
Total,34.71,23.71,22.90,36.93,20.68,29.38,28.92,33.01,25.64,34.76,,
Calc annual,34.71,23.71,22.90,36.93,20.68,29.38,28.92,33.01,25.64,34.76,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
