"PRESTWICK (SHERWOOD ROAD)",,,,,,,,,,,,
Grid ref,NS363258,Long,-4.593091,Lat,55.498481,,,,,,,
Station no,5220/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.72,,
February,,,,,,,,,,2.90,,
March,,,,,,,,,,2.48,,
April,,,,,,,,,,2.22,,
May,,,,,,,,,1.26,1.49,,
June,,,,,,,,,3.47,1.79,,
July,,,,,,,,,4.74,2.86,,
August,,,,,,,,,0.46,3.40,,
September,,,,,,,,,1.43,2.91,,
October,,,,,,,,,5.69,2.08,,
November,,,,,,,,,3.92,4.57,,
December,,,,,,,,,4.29,4.99,,
Total,,,,,,,,,,35.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.26,35.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
