"SUNDERLAND (MOWBRAY PARK) (THORNEHOLME)",,,,,,,,,,,,
Grid ref,NZ392561,Long,-1.390290,Lat,54.898099,,,,,,,
Station no,3550,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.33,1.75,0.91,2.56,1.79,3.39,1.61,1.42,2.86,4.77,,
February,2.36,0.68,2.21,1.83,2.14,1.73,1.50,3.71,0.65,1.92,,
March,3.33,1.24,0.02,1.20,1.50,0.61,1.07,4.01,0.39,1.73,,
April,1.18,1.52,2.24,0.32,0.77,0.94,0.45,1.73,1.40,0.88,,
May,4.23,1.37,1.54,2.25,1.57,0.39,1.61,3.11,0.42,1.92,,
June,1.39,1.38,1.73,2.49,2.79,3.13,1.98,2.49,2.87,0.27,,
July,1.24,0.85,2.53,1.85,0.97,3.31,3.10,2.79,1.54,3.58,,
August,4.37,1.69,4.50,4.51,0.84,7.40,3.67,2.10,0.53,2.28,,
September,0.82,4.02,1.12,1.91,0.94,2.09,3.64,1.81,0.55,1.98,,
October,1.01,2.25,1.08,3.89,1.19,1.53,1.66,1.03,1.00,6.72,,
November,4.82,3.33,0.91,2.84,1.65,0.92,1.05,0.86,3.03,2.40,,
December,2.49,2.68,0.92,1.39,2.46,2.01,1.17,2.96,2.51,2.21,,
Total,28.57,22.76,19.71,27.04,18.61,27.45,22.51,28.02,17.75,30.66,,
Calc annual,28.57,22.76,19.71,27.04,18.61,27.45,22.51,28.02,17.75,30.66,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
