"EAST LINTON (SMEATON)",,,,,,,,,,,,
Grid ref,NT594786,Long,-2.652518,Lat,55.998623,,,,,,,
Station no,5103/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,0.72,0.68,3.32,,
February,,,,,,,,1.31,0.34,1.73,,
March,,,,,,,,1.73,0.44,0.92,,
April,,,,,,,,1.81,1.31,0.70,,
May,,,,,,,,2.24,0.34,1.54,,
June,,,,,,,,3.01,2.30,0.65,,
July,,,,,,,,4.75,1.77,2.29,,
August,,,,,,,,2.82,0.27,3.44,,
September,,,,,,,,2.00,0.59,2.16,,
October,,,,,,,,0.80,1.71,3.78,,
November,,,,,,,,0.87,4.29,2.66,,
December,,,,,,,,3.38,3.27,2.28,,
Total,,,,,,,,25.44,17.31,25.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.44,17.31,25.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
