"PORLOCK (NUTSCALE RESERVOIR)",,,,,,,,,,,,
Grid ref,SS857428,Long,-3.636377,Lat,51.172980,,,,,,,
Station no,2097/6/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,2.90,5.70,7.10,6.00,6.05,7.20,6.80,,
February,,,,6.25,4.70,0.40,7.30,6.60,0.30,6.10,,
March,,,,5.65,1.90,2.30,5.00,2.00,4.50,3.10,,
April,,,,0.80,2.50,2.00,0.20,1.60,5.80,3.65,,
May,,,,3.75,7.15,1.00,2.70,6.00,1.70,1.60,,
June,,,,4.26,3.70,2.30,1.60,3.70,2.50,3.00,,
July,,,,6.06,2.60,5.20,5.20,3.70,3.40,6.80,,
August,,,,4.36,0.80,5.00,5.70,5.40,5.80,4.30,,
September,,,,7.09,3.00,10.70,8.90,8.68,0.30,5.80,,
October,,,,7.70,3.40,4.00,6.50,5.30,7.20,14.90,,
November,,,,12.50,4.60,1.70,3.80,3.60,8.60,11.20,,
December,,,,6.20,8.80,7.60,4.30,5.95,13.80,10.30,,
Total,,,,67.52,48.85,49.30,57.20,58.58,61.10,77.55,,
Calc annual,0.00,0.00,0.00,67.52,48.85,49.30,57.20,58.58,61.10,77.55,,
Difference,NaN,NaN,NaN,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,,
