"GLEN LEVEN (LOCH EILDE MHOR)",,,,,,,,,,,,
Grid ref,NN217633,Long,-4.915823,Lat,56.727193,,,,,,,
Station no,5748/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.05,8.33,,
February,,,,,,,,,8.34,8.20,,
March,,,,,,,,,6.17,1.79,,
April,,,,,,,,,9.64,10.77,,
May,,,,,,,,,3.26,4.36,,
June,,,,,,,,2.95,7.91,7.02,,
July,,,,,,,,4.21,10.63,4.86,,
August,,,,,,,,8.64,11.41,8.68,,
September,,,,,,,,7.34,4.34,5.39,,
October,,,,,,,,11.55,14.80,3.50,,
November,,,,,,,,3.34,11.87,9.02,,
December,,,,,,,,8.27,13.14,10.58,,
Total,,,,,,,,,106.56,82.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.30,106.56,82.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
