"GOODLEIGH RECTORY",,,,,,,,,,,,
Grid ref,SS603341,Long,-3.996120,Lat,51.089152,,,,,,,
Station no,1846/5/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.76,3.63,3.76,5.25,,,
February,,,,,,0.53,5.78,4.17,0.32,,,
March,,,,,,1.01,4.01,1.03,3.70,,,
April,,,,,,1.60,0.40,1.20,3.14,,,
May,,,,,,1.14,2.18,3.95,1.12,,,
June,,,,,3.64,2.24,1.70,3.93,2.26,,,
July,,,,,1.07,5.37,4.48,2.91,3.18,,,
August,,,,,0.44,5.07,4.80,6.80,1.42,,,
September,,,,,2.88,6.48,6.66,4.92,0.67,,,
October,,,,,2.68,3.30,5.94,4.77,6.60,,,
November,,,,,3.15,2.04,2.61,5.08,9.68,,,
December,,,,,6.04,4.47,2.60,4.79,7.81,,,
Total,,,,,,38.01,44.79,47.31,45.15,,,
Calc annual,0.00,0.00,0.00,0.00,19.90,38.01,44.79,47.31,45.15,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,NaN,,
