"HIGH CROSS MOOR (OLD GAUGE BASIN)",,,,,,,,,,,,
Grid ref,SD541576,Long,-2.701916,Lat,54.012361,,,,,,,
Station no,3065,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.56,5.20,3.10,6.30,2.82,,5.40,4.60,3.40,7.40,,
February,4.70,1.60,2.24,4.08,2.91,,3.70,7.68,1.60,5.60,,
March,5.80,3.10,1.08,3.34,1.21,,3.70,2.30,3.00,2.00,,
April,3.55,3.75,2.80,1.49,3.94,,1.10,2.20,3.00,4.10,,
May,2.63,3.19,2.68,3.10,,3.60,3.65,6.20,3.40,3.20,,
June,1.55,6.23,3.45,5.66,,3.74,2.70,4.70,4.90,2.60,,
July,4.55,3.00,7.02,9.54,,5.50,5.80,4.10,5.50,9.50,,
August,5.45,8.22,6.50,8.09,,14.45,5.10,5.90,0.50,6.00,,
September,5.70,5.85,7.90,8.34,,3.70,10.10,6.20,1.30,4.80,,
October,1.98,4.47,3.00,13.15,,4.30,8.40,5.80,5.00,3.70,,
November,10.10,3.19,6.20,9.23,,1.80,2.40,2.50,6.40,8.80,,
December,12.23,4.96,2.97,7.50,,6.80,5.80,3.60,8.80,6.00,,
Total,63.80,52.76,48.94,79.82,,,57.85,55.78,46.80,63.70,,
Calc annual,63.80,52.76,48.94,79.82,10.88,43.89,57.85,55.78,46.80,63.70,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,0.00,0.00,0.00,0.00,,
