"STRUAN (TOMNACUAG)",,,,,,,,,,,,
Grid ref,NN820652,Long,-3.931927,Lat,56.763408,,,,,,,
Station no,5563/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.43,1.55,,5.69,2.39,2.50,5.60,,,,,
February,1.83,1.14,,2.06,2.59,2.46,4.21,,,,,
March,1.46,2.55,,3.66,1.41,2.57,3.12,,,,,
April,1.63,1.51,,0.85,1.16,0.45,0.64,,,,,
May,1.20,3.90,,6.38,2.41,2.50,1.75,,,,,
June,0.63,2.35,,1.99,1.02,1.94,0.84,,,,,
July,2.32,0.66,,2.67,0.55,4.43,4.36,,,,,
August,1.77,1.73,,3.45,1.20,5.27,3.87,,,,,
September,1.39,1.41,,2.79,2.49,5.64,2.35,,,,,
October,1.27,3.49,,7.80,2.68,3.01,2.35,,,,,
November,8.55,2.05,,9.21,1.95,1.33,0.98,,,,,
December,5.43,0.61,,6.83,5.97,5.85,2.26,,,,,
Total,29.91,22.95,,53.38,25.82,37.95,32.33,,,,,
Calc annual,29.91,22.95,0.00,53.38,25.82,37.95,32.33,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
