"POTTON (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TL221485,Long,-0.217998,Lat,52.121339,,,,,,,
Station no,1176/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.26,1.41,1.00,0.72,1.81,3.40,1.38,2.23,2.94,2.00,,
February,3.08,0.52,1.55,1.71,1.38,0.81,2.56,2.18,0.09,1.58,,
March,2.59,2.65,0.51,2.12,1.45,0.62,1.72,1.07,2.11,1.38,,
April,2.87,1.20,1.93,0.21,0.63,1.18,0.47,0.85,1.44,0.36,,
May,1.96,3.35,1.70,3.06,3.68,0.33,1.13,1.66,0.55,0.92,,
June,1.52,1.52,2.01,2.31,2.40,3.50,1.69,4.99,0.48,2.06,,
July,0.95,0.42,2.34,2.82,0.33,3.54,2.68,2.49,2.35,3.38,,
August,3.69,3.45,2.04,4.01,0.68,3.72,2.21,2.91,0.75,3.09,,
September,2.05,2.31,0.97,1.73,1.71,2.39,2.89,2.51,0.09,3.78,,
October,1.20,1.65,2.34,1.71,2.00,1.54,1.74,1.72,1.56,4.51,,
November,3.16,2.98,1.32,3.45,1.10,0.92,1.51,1.73,1.40,3.31,,
December,1.01,1.91,0.65,1.92,2.02,2.27,2.27,2.17,3.02,3.01,,
Total,26.34,23.37,18.36,25.77,19.19,24.22,22.25,26.51,16.78,29.38,,
Calc annual,26.34,23.37,18.36,25.77,19.19,24.22,22.25,26.51,16.78,29.38,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
