"LONGFORD (PERRY OAKS DISPOSAL WORKS)",,,,,,,,,,,,
Grid ref,TQ060759,Long,-0.475229,Lat,51.472145,,,,,,,
Station no,838/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.55,1.98,0.88,0.85,2.39,3.37,1.47,2.27,2.16,1.75,,
February,4.67,0.67,1.13,2.05,1.26,0.06,2.83,2.07,0.09,1.98,,
March,3.26,2.38,0.32,2.10,0.83,0.46,0.99,0.91,1.69,1.37,,
April,2.27,1.58,1.96,0.39,0.25,1.07,0.20,1.11,2.15,0.45,,
May,3.00,2.01,1.25,2.52,3.61,0.14,0.85,2.17,1.01,1.82,,
June,1.21,1.37,1.13,3.60,2.00,1.65,0.87,4.18,0.51,1.78,,
July,0.95,0.49,2.36,1.84,0.28,6.43,3.58,2.13,3.57,3.01,,
August,3.56,2.51,1.80,3.48,0.69,3.33,3.62,3.06,1.29,2.66,,
September,2.66,2.83,1.92,1.98,1.86,1.54,1.99,3.36,0.45,3.24,,
October,0.97,2.36,2.67,2.27,3.45,3.34,1.83,2.15,2.11,6.27,,
November,5.18,2.64,1.26,3.98,1.27,0.27,2.16,2.04,2.06,3.63,,
December,1.43,2.35,0.59,1.99,1.80,2.55,1.36,3.30,2.84,2.47,,
Total,31.71,23.17,17.27,27.05,19.69,24.21,21.75,28.75,19.93,30.43,,
Calc annual,31.71,23.17,17.27,27.05,19.69,24.21,21.75,28.75,19.93,30.43,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
