"NEWCASTLE",,,,,,,,,,,,
Grid ref,IJ377312,Long,-5.889829,Lat,54.211341,,,,,,,
Station no,6195/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,6.92,7.74,3.32,,,
February,,,,,,,3.18,5.01,1.06,,,
March,,,,,,,6.44,-999.00,,,,
April,,,,,,,0.83,1.11,,,,
May,,,,,,1.30,4.23,3.74,,,,
June,,,,,,2.95,0.59,7.02,,,,
July,,,,,,4.17,3.92,4.16,,,,
August,,,,,,7.54,6.05,6.78,,,,
September,,,,,,4.67,5.22,8.11,,,,
October,,,,,,2.61,3.96,2.36,,,,
November,,,,,,1.62,2.03,1.81,,,,
December,,,,,,4.78,6.20,5.19,,,,
Total,,,,,,,49.57,54.89,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,29.64,49.57,53.03,4.38,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,1.86,NaN,NaN,,
