"BARNARD CASTLE (COUNTY SCHOOL)",,,,,,,,,,,,
Grid ref,NZ058162,Long,-1.911866,Lat,54.541032,,,,,,,
Station no,3511,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,,,,,,,,,,,
February,3.50,,,,,,,,,,,
March,3.56,,,,,,,,,,,
April,2.11,,,,,,,,,,,
May,3.02,,,,,,,,,,,
June,0.94,,,,,,,,,,,
July,0.96,,,,,,,,,,,
August,3.66,,,,,,,,,,,
September,1.30,,,,,,,,,,,
October,1.14,,,,,,,,,,,
November,7.59,,,,,,,,,,,
December,5.16,,,,,,,,,,,
Total,35.57,,,,,,,,,,,
Calc annual,35.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
