"HEREFORD (BREINTON COURT)",,,,,,,,,,,,
Grid ref,SO470396,Long,-2.774321,Lat,52.052239,,,,,,,
Station no,2228,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.24,1.90,0.62,2.48,2.84,3.96,1.33,1.71,4.40,5.21,,
February,3.32,0.42,1.38,2.15,1.35,0.46,2.83,4.06,0.25,2.83,,
March,3.66,1.68,0.95,2.21,2.17,0.94,1.66,1.31,2.83,1.88,,
April,2.15,1.89,2.40,0.15,0.72,2.89,0.14,0.33,2.98,2.39,,
May,3.94,3.24,1.53,2.01,4.91,0.54,1.63,2.23,1.99,1.61,,
June,0.98,1.85,1.49,3.63,4.20,3.43,1.11,3.69,1.59,2.26,,
July,0.90,1.30,2.24,1.82,1.58,5.51,2.59,3.80,1.47,2.51,,
August,3.00,7.09,3.32,3.24,0.99,3.63,4.96,1.82,0.65,2.72,,
September,2.07,2.21,3.16,1.69,0.86,2.96,4.33,6.19,0.22,4.46,,
October,0.81,3.76,2.32,3.01,1.59,1.37,1.06,2.96,2.41,7.48,,
November,6.11,3.10,1.70,6.35,3.76,1.12,2.49,3.07,3.95,4.69,,
December,2.31,2.27,1.57,2.16,3.77,3.24,2.96,3.24,6.41,3.42,,
Total,31.49,30.71,22.68,30.90,28.74,30.05,27.09,34.41,29.15,41.46,,
Calc annual,31.49,30.71,22.68,30.90,28.74,30.05,27.09,34.41,29.15,41.46,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
