"HARTLAND (FOSFELLE)",,,,,,,,,,,,
Grid ref,SS264237,Long,-4.474746,Lat,50.986458,,,,,,,
Station no,1868,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.26,4.14,1.54,2.23,4.66,4.86,4.34,3.68,5.45,,,
February,4.84,1.28,2.52,4.39,3.35,0.65,6.07,5.71,0.47,,,
March,5.52,4.56,1.36,3.53,1.67,1.41,5.14,1.59,4.74,,,
April,3.30,3.94,2.85,0.69,2.83,1.60,0.36,1.30,2.96,,,
May,2.57,2.77,3.59,2.37,3.26,1.31,3.05,3.31,1.24,,,
June,1.16,1.00,1.39,3.82,4.16,2.07,2.12,5.74,1.31,,,
July,1.04,1.21,6.50,5.51,2.13,4.51,3.35,2.39,2.95,,,
August,5.67,6.29,4.79,4.50,0.14,5.03,3.62,6.24,1.70,,,
September,3.02,3.68,5.41,4.66,2.00,5.41,6.26,7.15,,,,
October,1.28,5.24,3.13,5.80,3.34,2.77,5.71,5.79,,,,
November,4.90,4.67,3.70,9.06,2.51,1.47,2.56,4.26,,,,
December,4.84,4.84,1.40,4.69,6.73,5.27,2.39,4.55,,,,
Total,44.40,43.62,38.18,51.25,36.78,36.36,44.97,51.71,,,,
Calc annual,44.40,43.62,38.18,51.25,36.78,36.36,44.97,51.71,20.82,0.00,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
