"BOWLAND FOREST (HIGH SALTER)",,,,,,,,,,,,
Grid ref,SD617622,Long,-2.586531,Lat,54.054323,,,,,,,
Station no,3043,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,3.25,6.50,4.50,4.55,7.90,6.15,3.75,6.62,,
February,,,2.75,6.10,3.00,1.05,5.65,8.65,1.55,4.45,,
March,,4.70,1.70,4.50,2.45,1.45,5.35,1.75,2.30,1.55,,
April,,4.50,3.90,2.50,1.90,2.40,1.00,2.15,4.40,4.55,,
May,,4.00,2.25,3.50,5.65,3.35,3.65,8.05,1.90,2.45,,
June,,5.80,2.25,5.50,4.25,3.35,2.05,5.05,3.30,2.50,,
July,,3.10,7.25,9.00,2.50,5.05,7.10,5.05,4.65,10.20,,
August,,8.70,6.55,7.25,0.75,14.05,6.40,6.80,0.77,5.65,,
September,,6.20,9.25,9.00,4.55,4.25,7.65,6.80,0.50,4.20,,
October,,6.50,2.70,14.25,3.95,4.25,8.70,6.00,5.30,5.45,,
November,,2.50,6.70,10.25,3.75,1.95,2.10,2.15,6.65,9.85,,
December,,6.10,3.30,10.75,7.95,7.30,6.75,5.55,11.40,6.78,,
Total,,,51.85,89.10,45.20,53.00,64.30,64.15,46.47,64.25,,
Calc annual,0.00,52.10,51.85,89.10,45.20,53.00,64.30,64.15,46.47,64.25,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
