"GAIRLOCH (SHIELDAIG LODGE)",,,,,,,,,,,,
Grid ref,NG806725,Long,-5.682529,Lat,57.688649,,,,,,,
Station no,5784/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.25,,,,,,,,,,,
February,3.87,,,,,,,,,,,
March,3.10,,,,,,,,,,,
April,6.47,,,,,,,,,,,
May,1.32,,,,,,,,,,,
June,2.02,,,,,,,,,,,
July,4.97,,,,,,,,,,,
August,5.49,,,,,,,,,,,
September,4.03,,,,,,,,,,,
October,4.97,,,,,,,,,,,
November,5.21,,,,,,,,,,,
December,8.79,,,,,,,,,,,
Total,57.49,,,,,,,,,,,
Calc annual,57.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
