"CARISBROOKE (WATERWORKS)",,,,,,,,,,,,
Grid ref,SZ487881,Long,-1.311924,Lat,50.690519,,,,,,,
Station no,602/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,5.55,2.99,4.37,3.75,4.69,,
February,,,,,,0.38,4.82,3.03,0.17,3.15,,
March,,,,,,0.36,2.03,1.33,2.49,2.50,,
April,,,,,,1.97,0.23,0.54,2.73,1.29,,
May,,,,,,0.38,0.94,2.73,0.62,1.95,,
June,,,,,,3.15,1.42,2.93,0.63,1.45,,
July,,,,,,2.27,4.62,1.92,1.23,4.13,,
August,,,,,,4.89,2.23,4.16,1.65,5.60,,
September,,,,,,3.68,3.50,5.92,0.25,5.84,,
October,,,,,,1.27,2.51,3.71,3.46,7.93,,
November,,,,,,0.81,3.08,3.33,4.63,6.43,,
December,,,,,,5.56,2.84,4.55,9.48,4.70,,
Total,,,,,,30.27,31.21,38.52,31.09,49.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,30.27,31.21,38.52,31.09,49.66,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,,
