"MUKER (BUTTON TUBS)",,,,,,,,,,,,
Grid ref,SD869959,Long,-2.203084,Lat,54.358457,,,,,,,
Station no,3439/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,8.94,5.54,4.49,,,
February,,,,,,,3.88,6.32,1.63,,,
March,,,,,,,4.58,2.23,3.18,,,
April,,,,,,,0.91,1.74,4.13,,,
May,,,,,,,3.08,4.95,1.01,,,
June,,,,,,,1.25,4.39,2.85,,,
July,,,,,,,6.05,6.77,4.31,,,
August,,,,,,9.97,9.60,4.95,1.05,,,
September,,,,,,5.00,6.28,5.51,1.05,,,
October,,,,,,4.51,7.83,4.72,6.50,,,
November,,,,,,2.50,2.14,1.32,6.83,,,
December,,,,,,6.74,5.21,5.00,9.40,,,
Total,,,,,,,57.95,53.44,46.43,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,28.72,59.75,53.44,46.43,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-1.80,0.00,0.00,NaN,,
