"FORT WILLIAM (GLASDRUM)",,,,,,,,,,,,
Grid ref,NN101735,Long,-5.112683,Lat,56.814114,,,,,,,
Station no,5751,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.82,7.96,6.32,8.22,5.08,6.89,16.17,8.15,2.76,5.29,,
February,5.44,4.04,7.55,4.88,4.54,4.22,5.17,3.27,5.27,6.06,,
March,4.03,5.57,2.95,5.31,1.04,3.85,8.26,2.19,5.17,1.06,,
April,6.91,4.63,4.82,2.98,4.32,4.30,2.88,4.57,6.45,6.33,,
May,0.63,2.55,5.82,4.08,3.27,8.19,2.25,6.35,1.49,2.79,,
June,3.19,5.32,1.13,5.02,3.67,3.32,3.07,2.11,5.75,3.32,,
July,5.42,3.57,6.75,3.63,1.88,5.64,6.18,3.05,7.67,4.11,,
August,8.12,6.02,7.97,5.89,1.83,4.28,6.15,5.08,5.62,6.56,,
September,8.77,6.13,10.53,9.95,8.94,8.03,5.05,4.88,2.93,3.76,,
October,3.82,9.33,5.86,14.33,8.77,8.52,10.27,10.08,9.47,1.21,,
November,10.68,4.69,15.91,10.52,2.75,7.69,2.89,2.32,10.27,6.57,,
December,15.40,8.47,9.69,16.52,11.94,14.76,13.09,5.39,12.14,9.12,,
Total,82.23,68.28,85.30,91.33,-999.00,79.69,81.43,57.44,74.99,56.18,,
Calc annual,82.23,68.28,85.30,91.33,58.03,79.69,81.43,57.44,74.99,56.18,,
Difference,0.00,0.00,0.00,0.00,-1057.03,0.00,0.00,-0.00,0.00,0.00,,
