"BREACHWOOD GREEN SCHOOL",,,,,,,,,,,,
Grid ref,TL155222,Long,-0.323210,Lat,51.886403,,,,,,,
Station no,964/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.03,1.95,1.47,,2.64,4.12,1.13,2.49,3.14,2.71,,
February,4.02,0.64,1.91,,2.39,0.75,2.67,2.37,0.08,2.30,,
March,3.32,3.13,0.71,,1.35,0.91,1.25,1.81,2.08,1.52,,
April,3.04,1.69,2.24,,0.52,1.20,0.28,1.23,2.31,0.46,,
May,2.55,1.82,1.68,,4.05,0.70,1.09,2.09,0.72,1.63,,
June,0.74,0.92,2.00,,2.30,3.48,1.33,4.62,1.13,1.81,,
July,1.22,0.47,3.43,,0.25,2.61,2.88,2.29,3.80,3.55,,
August,3.69,3.12,1.83,,1.27,5.01,2.18,2.50,1.72,3.13,,
September,2.86,3.27,2.27,,1.53,2.24,2.93,3.52,0.14,3.53,,
October,1.08,2.61,3.06,,2.88,1.56,2.74,2.77,1.94,6.11,,
November,4.87,4.57,1.30,,1.65,1.00,1.76,2.23,2.30,4.24,,
December,1.85,2.99,0.46,,2.17,3.64,2.40,2.93,4.35,3.92,,
Total,32.27,27.18,22.36,,23.00,27.22,22.64,31.35,23.71,34.91,,
Calc annual,32.27,27.18,22.36,0.00,23.00,27.22,22.64,30.85,23.71,34.91,,
Difference,0.00,0.00,0.00,NaN,0.00,-0.00,0.00,0.50,0.00,-0.00,,
