"ROTHERHAM (KIMBERWORTH SCHOOL)",,,,,,,,,,,,
Grid ref,SK407930,Long,-1.388882,Lat,53.432221,,,,,,,
Station no,3132,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.04,2.51,0.33,1.95,2.25,3.48,,,2.50,,,
February,2.81,0.44,2.86,2.12,2.84,1.24,,,0.06,,,
March,2.83,1.61,1.03,1.64,2.91,0.81,,,1.17,,,
April,1.02,1.61,1.78,0.25,0.59,2.66,,,2.92,,,
May,3.56,1.86,2.54,3.64,2.59,0.48,,,0.87,,,
June,0.54,1.41,1.56,1.50,2.46,3.17,,,0.87,,,
July,1.17,1.79,3.37,0.97,0.65,4.58,,,0.83,,,
August,5.22,1.25,1.77,6.94,0.33,4.73,,,1.18,,,
September,1.38,1.42,1.60,1.73,0.91,3.48,,,0.00,,,
October,0.99,3.67,1.86,2.78,1.61,1.15,,,1.59,,,
November,5.77,1.36,1.45,3.25,2.06,0.57,,,3.36,,,
December,2.21,1.27,1.29,2.57,1.80,2.71,,,2.89,,,
Total,29.54,20.20,21.44,29.34,21.00,29.06,,,18.24,,,
Calc annual,29.54,20.20,21.44,29.34,21.00,29.06,0.00,0.00,18.24,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,0.00,NaN,,
