"WITHAM FRIARY (GARE HILL)",,,,,,,,,,,,
Grid ref,ST781404,Long,-2.314567,Lat,51.162425,,,,,,,
Station no,1953/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.68,4.12,1.19,2.44,,,,,,,,
February,5.93,1.02,2.22,3.55,,,,,,,,
March,4.39,4.70,1.01,5.01,,,,,,,,
April,4.12,2.46,3.35,0.47,,,,,,,,
May,3.19,3.84,2.41,2.35,,,,,,,,
June,1.58,3.21,2.25,5.17,,,,,,,,
July,1.64,0.93,5.08,3.72,,,,,,,,
August,6.53,4.44,3.33,6.17,,,,,,,,
September,3.66,4.20,4.81,4.23,,,,,,,,
October,0.85,5.26,3.56,3.81,,,,,,,,
November,10.90,4.77,2.40,8.18,,,,,,,,
December,3.38,4.03,1.17,3.46,,,,,,,,
Total,50.85,42.98,32.78,48.56,,,,,,,,
Calc annual,50.85,42.98,32.78,48.56,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
