"KINNAIRD HEAD",,,,,,,,,,,,
Grid ref,NJ998675,Long,-2.005019,Lat,57.697323,,,,,,,
Station no,5660,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.37,1.36,1.96,1.49,1.24,3.33,2.41,3.57,3.75,2.81,,
February,3.61,1.86,1.95,2.66,2.59,1.99,1.27,2.80,0.23,2.65,,
March,2.91,2.89,0.22,1.25,2.03,1.02,2.01,2.78,1.22,0.78,,
April,2.96,2.28,2.25,0.65,0.57,1.57,0.84,1.19,1.85,1.85,,
May,1.27,1.36,1.81,3.79,3.37,0.67,0.74,1.36,0.59,0.64,,
June,2.18,2.57,2.11,2.82,0.62,1.22,1.46,0.77,1.12,1.35,,
July,3.10,1.70,2.16,2.09,0.07,3.92,3.62,2.76,2.29,2.18,,
August,5.36,2.31,2.96,1.62,0.61,1.94,4.16,3.34,1.15,5.44,,
September,0.50,2.88,2.02,2.25,1.65,1.48,1.50,1.79,2.16,2.69,,
October,1.00,3.03,1.25,4.19,5.01,3.71,1.67,2.13,3.92,3.56,,
November,6.00,2.50,1.94,5.50,1.22,1.92,1.78,1.02,4.19,4.07,,
December,2.00,3.11,2.52,3.78,4.39,2.69,2.86,3.04,3.04,1.93,,
Total,33.26,27.85,23.15,32.09,23.37,25.46,24.32,26.55,25.51,29.95,,
Calc annual,33.26,27.85,23.15,32.09,23.37,25.46,24.32,26.55,25.51,29.95,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
