"BURTON ON TRENT (STAPENHILL ROAD)",,,,,,,,,,,,
Grid ref,SK255225,Long,-1.623230,Lat,52.799462,,,,,,,
Station no,2358/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.16,,,,,,,,,,,
February,2.61,,,,,,,,,,,
March,3.68,,,,,,,,,,,
April,1.68,,,,,,,,,,,
May,2.95,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,6.13,,,,,,,,,,,
September,1.56,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,20.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
