"ACKLINGTON (BROOMHILL COLLIERY)",,,,,,,,,,,,
Grid ref,NU247011,Long,-1.612489,Lat,55.303384,,,,,,,
Station no,3590,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.86,,,,,,,,,,,
February,3.27,,,,,,,,,,,
March,4.04,,,,,,,,,,,
April,2.40,,,,,,,,,,,
May,5.72,,,,,,,,,,,
June,1.67,,,,,,,,,,,
July,1.43,,,,,,,,,,,
August,3.83,,,,,,,,,,,
September,0.83,,,,,,,,,,,
October,0.65,,,,,,,,,,,
November,9.21,,,,,,,,,,,
December,1.02,,,,,,,,,,,
Total,36.93,,,,,,,,,,,
Calc annual,36.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
