"WINCHBURGH (HOPETOWN OIL WORKS)",,,,,,,,,,,,
Grid ref,NT096749,Long,-3.449509,Lat,55.958581,,,,,,,
Station no,5152,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.84,,,,,,,,,,,
February,2.02,,,,,,,,,,,
March,3.16,,,,,,,,,,,
April,3.56,,,,,,,,,,,
May,1.02,,,,,,,,,,,
June,1.82,,,,,,,,,,,
July,4.98,,,,,,,,,,,
August,5.89,,,,,,,,,,,
September,1.76,,,,,,,,,,,
October,0.61,,,,,,,,,,,
November,5.00,,,,,,,,,,,
December,4.14,,,,,,,,,,,
Total,36.80,,,,,,,,,,,
Calc annual,36.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
