"LOCH DEE",,,,,,,,,,,,
Grid ref,NX479792,Long,-4.384407,Lat,55.083862,,,,,,,
Station no,5015/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.65,9.18,6.11,7.78,5.86,6.32,9.40,11.57,4.86,6.70,,
February,5.30,2.60,3.49,6.81,3.97,2.14,4.65,8.61,4.78,12.00,,
March,6.19,5.86,1.34,5.84,4.16,4.35,9.57,2.63,7.92,3.33,,
April,5.89,5.41,4.37,2.98,5.81,2.39,4.84,3.09,4.74,10.18,,
May,2.12,3.89,4.73,4.88,6.75,4.20,3.85,5.75,2.37,3.72,,
June,4.02,4.15,3.59,10.20,5.26,4.52,2.55,5.38,3.86,4.05,,
July,5.12,5.14,11.93,9.50,2.89,6.92,6.72,5.45,9.37,5.96,,
August,14.79,7.12,7.54,6.39,2.57,10.96,8.19,6.27,2.60,6.78,,
September,10.52,5.22,13.38,14.71,6.51,7.42,8.92,9.21,2.54,5.16,,
October,1.68,7.28,6.37,15.77,6.11,7.19,8.64,8.13,11.17,7.78,,
November,15.03,5.14,12.47,15.75,4.88,5.24,4.40,4.95,11.39,13.70,,
December,16.26,9.47,9.51,14.18,11.29,9.47,12.14,7.64,18.15,9.40,,
Total,94.57,70.46,84.83,114.79,66.06,71.12,83.87,78.68,83.75,88.76,,
Calc annual,94.57,70.46,84.83,114.79,66.06,71.12,83.87,78.68,83.75,88.76,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
