"TARFSIDE (LOW LEVEL)",,,,,,,,,,,,
Grid ref,NO491798,Long,-2.837410,Lat,56.906726,,,,,,,
Station no,5611/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.66,5.55,,
February,,,,,,,,,0.28,6.24,,
March,,,,,,,,,3.58,2.71,,
April,,,,,,,,,3.54,5.73,,
May,,,,,,,,,1.31,2.18,,
June,,,,,,,,,3.45,2.05,,
July,,,,,,,,,3.40,4.60,,
August,,,,,,,,,1.64,4.26,,
September,,,,,,,,,0.79,4.60,,
October,,,,,,,,,5.86,9.83,,
November,,,,,,,,,10.44,6.98,,
December,,,,,,,,6.89,11.47,3.34,,
Total,,,,,,,,,48.42,58.07,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,48.42,58.07,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
