"PETERSFIELD (DITCHAM PARK)",,,,,,,,,,,,
Grid ref,SU748177,Long,-0.936458,Lat,50.953887,,,,,,,
Station no,7054,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.18,1.47,2.48,3.97,5.62,4.25,5.77,4.10,4.77,,
February,,1.06,2.17,3.75,2.53,0.20,6.40,3.22,0.17,5.21,,
March,,3.70,0.88,4.35,1.67,0.65,2.70,1.92,3.55,2.41,,
April,,2.26,2.19,0.39,0.66,2.10,0.36,0.69,3.86,1.25,,
May,,3.16,3.43,3.93,5.58,0.28,1.53,3.81,0.44,1.53,,
June,,1.61,2.61,4.13,3.13,3.42,2.96,3.81,1.08,4.02,,
July,,0.66,6.47,4.25,1.37,3.03,6.22,2.71,1.87,5.34,,
August,,3.43,2.26,3.29,1.28,5.26,3.49,5.50,5.41,4.87,,
September,,4.23,3.29,3.88,2.65,4.87,4.05,5.21,0.17,5.47,,
October,,5.15,4.15,3.89,4.73,1.97,3.08,3.79,3.48,10.08,,
November,,5.02,2.19,7.90,3.30,0.87,3.34,3.23,4.93,8.15,,
December,,3.47,1.09,3.99,5.27,7.53,3.53,4.75,10.86,5.58,,
Total,,36.93,32.20,46.23,36.14,35.80,41.91,44.41,39.92,58.68,,
Calc annual,0.00,36.93,32.20,46.23,36.14,35.80,41.91,44.41,39.92,58.68,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
