"CAMBUSLANG (GREENLEES FILTERS)",,,,,,,,,,,,
Grid ref,NS640590,Long,-4.171401,Lat,55.805074,,,,,,,
Station no,5204,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.28,4.31,1.23,4.53,2.28,2.35,6.53,4.99,1.27,3.26,,
February,2.58,1.26,1.33,3.74,2.26,1.45,3.05,2.41,2.80,3.79,,
March,2.95,2.39,1.25,2.35,1.62,1.87,3.46,0.85,2.59,1.72,,
April,2.15,2.89,1.60,1.35,1.07,0.88,2.07,1.51,3.19,2.82,,
May,1.60,1.64,3.03,3.47,2.97,2.36,2.41,2.78,1.64,2.39,,
June,1.77,2.82,0.88,2.54,1.26,3.50,2.28,3.17,2.73,2.12,,
July,3.18,2.21,3.64,3.21,1.50,5.40,3.47,5.25,3.82,3.20,,
August,4.54,3.16,2.56,4.54,1.43,5.92,4.29,7.27,0.84,2.89,,
September,2.76,2.35,2.88,4.73,2.72,4.25,2.76,4.12,0.89,2.51,,
October,0.88,2.86,2.08,9.41,2.53,3.70,3.95,4.00,4.41,2.51,,
November,5.89,2.22,5.94,5.58,1.59,1.55,1.52,1.79,4.79,5.57,,
December,5.50,3.27,3.96,4.19,5.46,5.48,4.24,4.97,6.11,5.51,,
Total,38.08,31.38,30.38,49.64,26.69,38.71,40.03,43.11,35.08,38.29,,
Calc annual,38.08,31.38,30.38,49.64,26.69,38.71,40.03,43.11,35.08,38.29,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
